1|Rajasthan|1|50|230.0|4.75|467.5
2|Rajasthan|51|150|230.0|6.5|1205.0
3|Rajasthan|151|300|275.0|7.35|2480.0
4|Rajasthan|301|500|345.0|7.65|4170.0
5|Rajasthan|501|999999|400.0|7.95|
